[BACKTEST] Starting for BTC-USD on 15m...
[HURST] RANDOM_WALK | R/S=0.506 DFA=0.514 Mean=0.510 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.460 DFA=0.443 Mean=0.452 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] MEAN_REVERTING | R/S=0.444 DFA=0.316 Mean=0.380 Stable=false
[REGIME] MEAN_REVERTING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.559 DFA=0.510 Mean=0.535 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.594 DFA=0.448 Mean=0.521 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.529 DFA=0.399 Mean=0.464 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.620 DFA=0.582 Mean=0.601 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.579 DFA=0.601 Mean=0.590 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.612 DFA=0.574 Mean=0.593 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.605 DFA=0.609 Mean=0.607 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.559 DFA=0.508 Mean=0.534 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.586 DFA=0.589 Mean=0.587 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.515 DFA=0.520 Mean=0.517 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.553 DFA=0.556 Mean=0.554 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.564 DFA=0.484 Mean=0.524 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.544 DFA=0.559 Mean=0.551 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.526 DFA=0.592 Mean=0.559 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.531 DFA=0.525 Mean=0.528 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.500 DFA=0.503 Mean=0.501 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.552 DFA=0.493 Mean=0.522 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] MEAN_REVERTING | R/S=0.481 DFA=0.399 Mean=0.440 Stable=true
[REGIME] MEAN_REVERTING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.509 DFA=0.515 Mean=0.512 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.606 DFA=0.598 Mean=0.602 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.601 DFA=0.590 Mean=0.595 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.587 DFA=0.560 Mean=0.573 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.530 DFA=0.414 Mean=0.472 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.498 DFA=0.494 Mean=0.496 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.570 DFA=0.506 Mean=0.538 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.547 DFA=0.474 Mean=0.511 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
